Date,Borough
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,The Bronx
January 2015,The Bronx
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,The Bronx
January 2015,The Bronx
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,The Bronx
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Manhattan
January 2015,The Bronx
January 2015,Manhattan
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Manhattan
January 2015,The Bronx
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,The Bronx
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,The Bronx
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Manhattan
January 2015,The Bronx
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,The Bronx
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,Manhattan
January 2015,The Bronx
January 2015,Manhattan
January 2015,Manhattan
January 2015,Queens
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Queens
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Brooklyn
January 2015,Queens
January 2015,Brooklyn
January 2015,Brooklyn
